Date,Rain_mm
1/10/2009,34
1/11/2009,16
1/12/2009,121.4
1/01/2010,46.4
1/02/2010,90
1/03/2010,89
1/04/2010,70.6
1/05/2010,60.8
1/06/2010,37.2
1/07/2010,42.4
1/08/2010,105.6
1/09/2010,87.8
1/10/2010,71.2
1/11/2010,169
1/12/2010,214.4
1/01/2011,18.42
1/02/2011,21.2
1/03/2011,34.4
1/04/2011,16
1/05/2011,50.2
1/06/2011,16.4
1/07/2011,9.6
1/08/2011,67
1/09/2011,86
1/10/2011,53.4
1/11/2011,127.64
1/12/2011,65.2
1/01/2012,55.22
1/02/2012,145.02
1/03/2012,137.22
1/04/2012,12.2
1/05/2012,51.6
1/06/2012,41.82
1/07/2012,65.6
1/08/2012,11
1/09/2012,46.4
1/10/2012,13.2
1/11/2012,33.83
1/12/2012,72.24
1/01/2013,75.8
1/02/2013,34
1/03/2013,80.4
1/04/2013,6.8
1/05/2013,23.8
1/06/2013,97.24
1/07/2013,32
1/08/2013,9.8
1/09/2013,74.2
1/10/2013,6
1/11/2013,20.02
1/12/2013,42
1/01/2014,27.8
1/02/2014,56.6
1/03/2014,104.4
1/04/2014,70
1/05/2014,30.6
1/06/2014,47.8
1/07/2014,47.2
1/08/2014,23
1/09/2014,23.8
1/10/2014,14.2
1/11/2014,28.4
1/12/2014,84.8
1/01/2015,115.4
1/02/2015,19.02
1/03/2015,31.8
1/04/2015,92.6
1/05/2015,53.4
1/06/2015,55.2
1/07/2015,61.6
1/08/2015,30.4
1/09/2015,5.4
1/10/2015,44
1/11/2015,101.45
